sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0,40,0,0,-1.05819009496492,0,0,0,0,0,0,MV-201,step_steer_python
2,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.001,40,0,0,-1.05819009496492,0,0,0,0,-1.30333385993099e-09,-5.51570889522796e-08,MV-201,step_steer_python
3,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.002,40,0,4.97887843964803e-20,-1.04707898385381,0,0.0111111111111111,0,0,-2.60666771986198e-09,-1.10314177904559e-07,MV-201,step_steer_python
4,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.003,39.9999318849472,-6.74578419361918e-11,-3.01797292768413e-05,-1.03596766823891,-7.87965761303241e-24,0.0222232241453614,0,0,-3.91000157979298e-09,-1.65471266856839e-07,MV-201,step_steer_python
5,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.004,39.9998396000823,4.51231453732208e-08,-6.76994565976659e-05,-1.02485633552561,1.1014804481712e-09,0.0333355311920039,0,0,-5.21333543972397e-09,-2.20628355809118e-07,MV-201,step_steer_python
6,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.005,39.999724535062,1.25041305013273e-07,-0.000108266655701927,-1.01374499541354,3.03203551523683e-09,0.0444479872902022,0,0,-6.51666929965496e-09,-2.75785444761398e-07,MV-201,step_steer_python
7,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.006,39.9995913341138,2.38402466543539e-07,-0.000148828197878681,-1.00263367342178,5.82156658233176e-09,0.0555604913601973,0,0,-7.82000315958595e-09,-3.30942533713678e-07,MV-201,step_steer_python
8,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.007,39.999443428836,3.80728414471896e-07,-0.000186524987152839,-0.991522388369914,9.39661913792861e-09,0.0666729683998693,0,0,-9.12333701951695e-09,-3.86099622665957e-07,MV-201,step_steer_python
9,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.008,39.9992834632324,5.45407606873957e-07,-0.000219417836881412,-0.980411153966317,1.36410363367163e-08,0.0777853654007394,0,0,-1.04266708794479e-08,-4.41256711618237e-07,MV-201,step_steer_python
10,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.009,39.9991134521208,7.24956029802528e-07,-0.000246325540209924,-0.969299979862487,1.84180900205195e-08,0.0888976467948837,0,0,-1.17300047393789e-08,-4.96413800570516e-07,MV-201,step_steer_python
11,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.01,39.9989349027685,9.11687420698836e-07,-0.000266638040324064,-0.958188872387844,2.35800251475391e-08,0.100009791444028,0,0,-1.30333385993099e-08,-5.51570889522796e-07,MV-201,step_steer_python
12,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.011,39.9987489248913,1.09818612733476e-06,-0.000280226126357468,-0.947077835246136,2.89798068253608e-08,0.111121789706032,0,0,-1.45579636896698e-08,-6.16093023346826e-07,MV-201,step_steer_python
13,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.012,39.9985563236878,1.2776853493832e-06,-0.000287319788115743,-0.935966870124687,3.44780714150067e-08,0.122233640817686,0,0,-1.60825887800297e-08,-6.80615157170856e-07,MV-201,step_steer_python
14,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.013,39.9983576775336,1.44430032721913e-06,-0.000288408992341857,-0.924855977219063,3.99483823989899e-08,0.133345350602066,0,0,-1.76072138703896e-08,-7.45137290994887e-07,MV-201,step_steer_python
15,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.014,39.9981534016658,1.59316238950386e-06,-0.000284156794439335,-0.913745155676146,4.52804062894903e-08,0.1444569295012,0,0,-1.91318389607495e-08,-8.09659424818917e-07,MV-201,step_steer_python
16,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.015,39.9979437993186,1.72047071276906e-06,-0.000275326863853944,-0.902634403960513,5.0381543129531e-08,0.155568390924176,0,0,-2.06564640511093e-08,-8.74181558642947e-07,MV-201,step_steer_python
17,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.016,39.9977291018363,1.82348100176266e-06,-0.000262725319509137,-0.891523720150504,5.51773457530579e-08,0.166679749891822,0,0,-2.21810891414692e-08,-9.38703692466977e-07,MV-201,step_steer_python
18,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.017,39.9975094992844,1.90044834037841e-06,-0.000247155389024175,-0.880413102171216,5.96110264211554e-08,0.177791021953347,0,0,-2.37057142318291e-08,-1.00322582629101e-06,MV-201,step_steer_python
19,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.018,39.9972851630191,1.95053814608314e-06,-0.000229383657723337,-0.869302547972066,6.36423107516277e-08,0.188902222346737,0,0,-2.5230339322189e-08,-1.06774796011504e-06,MV-201,step_steer_python
20,2026年09月08日_21时14分58秒_第034次,2026-09-08T21:14:58,0.019,39.9970562615822,1.97371720193095e-06,-0.000210116329446782,-0.858192055656568,6.72458582236879e-08,0.200013365373098,0,0,-2.67549644125489e-08,-1.13227009393907e-06,MV-201,step_steer_python
