step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,OK
1,0.010000,39.998935,0.000001,-0.000267,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
2,0.020000,39.996823,0.000002,-0.000190,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
3,0.030000,39.994298,0.000001,-0.000021,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
4,0.040000,39.991596,-0.000001,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,OK
5,0.050000,39.988893,-0.000002,0.000064,0.000000,0.000000,0.000001,0.000001,0.000000,OK
6,0.060000,39.986248,-0.000002,0.000082,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
7,0.070000,39.983659,-0.000001,0.000099,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
8,0.080000,39.981104,-0.000001,0.000115,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
9,0.090000,39.978555,-0.000001,0.000127,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
10,0.100000,39.975989,-0.000001,0.000134,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
11,0.110000,39.973388,-0.000001,0.000135,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
12,0.120000,39.970742,-0.000003,0.000132,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
13,0.130000,39.968049,-0.000004,0.000124,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
14,0.140000,39.965314,-0.000007,0.000114,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
15,0.150000,39.962549,-0.000009,0.000102,0.000000,0.000000,0.000006,0.000006,-0.000000,OK
16,0.160000,39.959766,-0.000012,0.000092,0.000000,0.000000,0.000007,0.000007,-0.000000,OK
17,0.170000,39.956983,-0.000014,0.000083,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
18,0.180000,39.954218,-0.000016,0.000077,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
19,0.190000,39.951486,-0.000016,0.000075,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
20,0.200000,39.948802,-0.000016,0.000076,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
21,0.210000,39.946172,-0.000016,0.000080,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
22,0.220000,39.943595,-0.000014,0.000086,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
23,0.230000,39.941062,-0.000012,0.000092,0.000000,0.000000,0.000008,0.000008,-0.000001,OK
24,0.240000,39.938558,-0.000011,0.000098,0.000000,0.000000,0.000007,0.000007,-0.000002,OK
25,0.250000,39.936062,-0.000009,0.000103,0.000000,0.000000,0.000006,0.000006,-0.000002,OK
26,0.260000,39.933453,-0.000022,0.013755,0.000000,0.000000,0.000014,0.000014,-0.000002,OK
27,0.270000,39.924298,-0.000181,0.027471,0.000000,0.000003,0.000110,0.000110,-0.000004,OK
28,0.280000,39.904710,-0.000206,0.020252,0.000000,0.000003,0.000127,0.000127,-0.000006,OK
29,0.290000,39.876776,-0.000178,0.018054,0.000000,0.000003,0.000110,0.000110,-0.000008,OK
30,0.300000,39.843096,-0.000210,0.017737,0.000000,0.000003,0.000131,0.000131,-0.000010,OK
31,0.310000,39.805762,-0.000344,0.016740,0.000000,0.000005,0.000213,0.000213,-0.000013,OK
32,0.320000,39.766289,-0.000572,0.014507,0.000000,0.000008,0.000352,0.000352,-0.000019,OK
33,0.330000,39.725719,-0.000856,0.011296,0.000000,0.000012,0.000527,0.000527,-0.000027,OK
34,0.340000,39.684753,-0.001141,0.007677,0.000000,0.000017,0.000704,0.000704,-0.000039,OK
35,0.350000,39.643852,-0.001373,0.004237,0.000000,0.000020,0.000850,0.000850,-0.000052,OK
36,0.360000,39.603328,-0.001502,0.001382,0.000000,0.000022,0.000935,0.000935,-0.000067,OK
