sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0,0.1,0,0,-1.05819009496492,0,0,0,0,0,-0,MV-202,sine_steer_python-1
2,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.001,0.1,0,0,-1.05819009496492,0,0,0,0,2.29834687619397e-08,9.72660398005287e-07,MV-202,sine_steer_python-1
3,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.002,40,-7.94503133649028e-36,4.70468973902358e-20,-1.05816231718715,0,2.77777777777778e-05,0,0,9.5573550298379e-09,4.0446726486274e-07,MV-202,sine_steer_python-1
4,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.003,39.9999442455599,1.46998694431032e-09,0.000657652549473664,-1.04150933490558,6.50844639819591e-25,0.0166815574786947,0,0,-8.7622900299412e-09,-3.70820114067112e-07,MV-202,sine_steer_python-1
5,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.004,39.9998875664766,-9.86483589119475e-07,0.000368822312497798,-1.03039799310426,-2.4002582205646e-08,0.0277938889671444,0,0,-1.8038963554601e-08,-7.63408937630714e-07,MV-202,sine_steer_python-1
6,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.005,39.999801546211,-1.06900347663665e-06,0.000348046937026768,-1.01928663228942,-2.54448166692208e-08,0.03890637525553,0,0,-1.50563780714212e-08,-6.37185919982545e-07,MV-202,sine_steer_python-1
7,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.006,39.999703981521,-1.31553680968099e-06,0.000306990643755405,-1.00817528158256,-3.25104327529287e-08,0.0500189208652721,0,0,-6.61213439501027e-09,-2.79825527596834e-07,MV-202,sine_steer_python-1
8,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.007,39.9995948740619,-1.47458723869459e-06,0.000253443650839635,-0.997063956605848,-3.72135954158869e-08,0.0611314521956632,0,0,9.15363644173459e-10,3.87381894214208e-08,MV-202,sine_steer_python-1
9,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.008,39.9994764791678,-1.56674069881858e-06,0.000205425246387654,-0.985952670650113,-4.0756520544686e-08,0.0722439167177357,0,0,3.87492932224957e-09,1.63987008917602e-07,MV-202,sine_steer_python-1
10,2026年09月05日_22时51分42秒_第035次,2026-09-05T22:51:42,0.009,39.999350339296,-1.60803934036704e-06,0.000163458034011407,-0.974841432663757,-4.33735266626416e-08,0.0833562795153772,0,0,6.73527624821466e-10,2.85036890824444e-08,MV-202,sine_steer_python-1
