step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
59,0.590000,19.848228,-0.000007,0.000064,0.000000,0.000000,0.000005,0.000005,-0.000002,OK
60,0.600000,19.845562,0.000007,0.000067,0.000000,-0.000000,-0.000003,-0.000003,-0.000002,OK
61,0.610000,19.842873,0.000018,0.000059,0.000000,-0.000000,-0.000010,-0.000010,-0.000001,OK
62,0.620000,19.840168,0.000025,0.000043,0.000000,-0.000000,-0.000014,-0.000014,-0.000001,OK
63,0.630000,19.837460,0.000028,0.000021,0.000000,-0.000000,-0.000016,-0.000016,-0.000001,OK
64,0.640000,19.834761,0.000025,-0.000004,0.000000,-0.000000,-0.000015,-0.000015,-0.000001,OK
65,0.650000,19.832082,0.000018,-0.000026,0.000000,-0.000000,-0.000011,-0.000011,-0.000001,OK
66,0.660000,19.829429,0.000008,-0.000041,0.000000,-0.000000,-0.000004,-0.000004,-0.000000,OK
67,0.670000,19.826805,-0.000004,-0.000048,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
68,0.680000,19.824204,-0.000014,-0.000043,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
69,0.690000,19.821617,-0.000023,-0.000030,0.000000,0.000000,0.000014,0.000014,-0.000001,OK
70,0.700000,19.819033,-0.000027,-0.000009,0.000000,0.000000,0.000017,0.000017,-0.000001,OK
71,0.710000,19.816440,-0.000028,0.000014,0.000000,0.000000,0.000017,0.000017,-0.000001,OK
72,0.720000,19.813827,-0.000023,0.000035,0.000000,0.000000,0.000015,0.000015,-0.000002,OK
73,0.730000,19.811189,-0.000015,0.000050,0.000000,0.000000,0.000010,0.000010,-0.000002,OK
74,0.740000,19.808526,-0.000005,0.000058,0.000000,0.000000,0.000004,0.000004,-0.000002,OK
75,0.750000,19.805842,0.000005,0.000056,0.000000,-0.000000,-0.000002,-0.000002,-0.000002,OK
76,0.760000,19.803147,0.000015,0.000045,0.000000,-0.000000,-0.000008,-0.000008,-0.000002,OK
77,0.770000,19.800449,0.000022,0.000028,0.000000,-0.000000,-0.000012,-0.000012,-0.000001,OK
78,0.780000,19.797758,0.000025,0.000009,0.000000,-0.000000,-0.000014,-0.000014,-0.000001,OK
79,0.790000,19.795082,0.000024,-0.000009,0.000000,-0.000000,-0.000014,-0.000014,-0.000001,OK
80,0.800000,19.792423,0.000019,-0.000022,0.000000,-0.000000,-0.000011,-0.000011,-0.000001,OK
81,0.810000,19.789779,0.000012,-0.000030,0.000000,-0.000000,-0.000007,-0.000007,-0.000001,OK
82,0.820000,19.787148,0.000003,-0.000031,0.000000,-0.000000,-0.000001,-0.000001,-0.000001,OK
83,0.830000,19.784524,-0.000006,-0.000026,0.000000,0.000000,0.000004,0.000004,-0.000001,OK
84,0.840000,19.781900,-0.000014,-0.000017,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
85,0.850000,19.779272,-0.000018,-0.000006,0.000000,0.000000,0.000011,0.000011,-0.000001,OK
86,0.860000,19.776636,-0.000019,0.000005,0.000000,0.000000,0.000012,0.000012,-0.000001,OK
87,0.870000,19.773991,-0.000017,0.000013,0.000000,0.000000,0.000011,0.000011,-0.000001,OK
88,0.880000,19.771337,-0.000012,0.000019,0.000000,0.000000,0.000008,0.000008,-0.000001,OK
89,0.890000,19.768674,-0.000005,0.000022,0.000000,0.000000,0.000004,0.000004,-0.000002,OK
90,0.900000,19.766006,0.000002,0.000021,0.000000,-0.000000,-0.000000,-0.000000,-0.000002,OK
91,0.910000,19.763333,0.000009,0.000017,0.000000,-0.000000,-0.000005,-0.000005,-0.000001,OK
92,0.920000,19.760660,0.000014,0.000011,0.000000,-0.000000,-0.000008,-0.000008,-0.000001,OK
93,0.930000,19.757987,0.000016,0.000004,0.000000,-0.000000,-0.000009,-0.000009,-0.000001,OK
94,0.940000,19.755317,0.000016,-0.000004,0.000000,-0.000000,-0.000009,-0.000009,-0.000001,OK
95,0.950000,19.752653,0.000013,-0.000011,0.000000,-0.000000,-0.000007,-0.000007,-0.000001,OK
96,0.960000,19.749994,0.000008,-0.000016,0.000000,-0.000000,-0.000005,-0.000005,-0.000001,OK
97,0.970000,19.747343,0.000002,-0.000019,0.000000,-0.000000,-0.000001,-0.000001,-0.000001,OK
98,0.980000,19.744698,-0.000004,-0.000019,0.000000,0.000000,0.000003,0.000003,-0.000001,OK
99,0.990000,19.742059,-0.000009,-0.000016,0.000000,0.000000,0.000006,0.000006,-0.000001,OK
100,1.000000,19.739422,-0.000012,-0.000010,3.000000,0.070889,-1.052216,0.000008,-0.000001,OK
101,1.010000,19.738337,0.005983,0.115404,3.000000,0.070803,-1.055965,-0.003619,0.000059,OK
102,1.020000,19.735489,0.025557,0.316537,3.000000,0.070522,-1.068157,-0.015491,0.000314,OK
103,1.030000,19.731807,0.055390,0.685231,3.000000,0.070093,-1.086748,-0.033668,0.000868,OK
104,1.040000,19.727717,0.092334,1.173429,3.000000,0.069558,-1.109836,-0.056296,0.001792,OK
105,1.050000,19.723370,0.132790,1.767360,3.000000,0.068969,-1.135263,-0.081234,0.003120,OK
106,1.060000,19.718791,0.172329,2.448740,3.000000,0.068388,-1.160363,-0.105819,0.004843,OK
107,1.070000,19.714043,0.207054,3.196451,3.000000,0.067871,-1.182767,-0.127689,0.006913,OK
108,1.080000,19.709214,0.233410,3.986644,3.000000,0.067470,-1.200291,-0.144670,0.009247,OK
109,1.090000,19.704374,0.248668,4.798422,3.000000,0.067224,-1.211233,-0.155068,0.011734,OK
