step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,15.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,OK
1,0.010000,14.998948,0.000001,-0.000397,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
2,0.020000,14.996075,-0.000001,-0.000034,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
3,0.030000,14.993051,-0.000008,0.000297,0.000000,0.000000,0.000005,0.000005,-0.000000,OK
4,0.040000,14.990256,-0.000009,0.000005,0.000000,0.000000,0.000005,0.000005,-0.000000,OK
5,0.050000,14.987641,-0.000006,-0.000102,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
6,0.060000,14.985138,-0.000004,-0.000068,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
7,0.070000,14.982773,-0.000004,-0.000063,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
8,0.080000,14.980533,-0.000005,-0.000028,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
9,0.090000,14.978351,-0.000008,0.000067,0.000000,0.000000,0.000005,0.000005,-0.000000,OK
10,0.100000,14.976158,-0.000010,0.000180,0.000000,0.000000,0.000006,0.000006,-0.000001,OK
11,0.110000,14.973906,-0.000011,0.000274,0.000000,0.000000,0.000007,0.000007,-0.000001,OK
12,0.120000,14.971553,-0.000009,0.000342,0.000000,0.000000,0.000006,0.000006,-0.000001,OK
13,0.130000,14.969072,-0.000005,0.000383,0.000000,0.000000,0.000004,0.000004,-0.000001,OK
14,0.140000,14.966458,-0.000000,0.000389,0.000000,0.000000,0.000001,0.000001,-0.000001,OK
15,0.150000,14.963727,0.000005,0.000356,0.000000,-0.000000,-0.000003,-0.000003,-0.000001,OK
16,0.160000,14.960912,0.000008,0.000291,0.000000,-0.000000,-0.000005,-0.000005,-0.000001,OK
17,0.170000,14.958055,0.000008,0.000205,0.000000,-0.000000,-0.000005,-0.000005,-0.000001,OK
18,0.180000,14.955204,0.000004,0.000110,0.000000,-0.000000,-0.000002,-0.000002,-0.000001,OK
