metric,value,unit
duration,20,s
v_start,40,km/h
v_end,40.011988,km/h
v_max,40.4963,km/h
max_abs_beta,0.493941,deg
max_abs_yaw_rate,11.954602,deg/s
max_abs_delta1,3,deg
max_abs_delta3,0.600558,deg
