metric,value,unit
duration,30,s
v_start,15,km/h
v_end,15.083748,km/h
v_max,15.09039,km/h
max_abs_beta,0.059921,deg
max_abs_yaw_rate,6.224375,deg/s
max_abs_delta1,2,deg
max_abs_delta3,1.027092,deg
