metric,value,unit
duration,20,s
v_start,40,km/h
v_end,39.680228,km/h
v_max,40,km/h
max_abs_beta,0.534296,deg
max_abs_yaw_rate,12.94025,deg/s
max_abs_delta1,3,deg
max_abs_delta3,0.546624,deg
