sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_3dof_deg,state_yaw_rate_3dof_degps,state_y_3dof_m,state_steer_delta_deg,state_x_m,state_y_m,state_xt_m,state_yt_m,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,case_id,case_name
14,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.008,39.992731557009,-0.0279583374627571,-0.294362820418802,-2.28031656568738e-05,-1.89578043931201,-0.93039607883106,-1.62248516238121e-05,0.127805437214231,0,-0.00959371856467207,-0.114124804372711,MV-002,sine_steer_40kmh
15,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.009,39.9919984938496,-0.0312565708050825,-0.319088781291728,-2.88307322874785e-05,-1.89497824445493,-0.919285054114731,-1.89751204111179e-05,0.138917252903465,0,-0.0113021706814641,-0.132412835023019,MV-002,sine_steer_40kmh
16,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.01,39.991285840351,-0.0345162756131268,-0.342412091852747,-3.55556594870923e-05,-1.89417305734506,-0.908174100968064,-2.21230642133123e-05,0.150028950997675,0,-0.0131243224483474,-0.15243491829173,MV-002,sine_steer_40kmh
17,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.011,39.9905903848093,-0.0377384395435991,-0.364558581340159,-4.29750706132951e-05,-1.89336487925381,-0.897063219719719,-2.5700778221977e-05,0.161140543931204,0,-0.0150551564410174,-0.174029495717183,MV-002,sine_steer_40kmh
18,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.012,39.9899094480931,-0.0409239186217958,-0.385717711965781,-5.10860390544077e-05,-1.89255371145734,-0.885952410436636,-2.9737839137564e-05,0.172252044776638,0,-0.0170895662730596,-0.197067186001548,MV-002,sine_steer_40kmh
19,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.013,39.9892407950555,-0.0440734575585818,-0.40604841855636,-5.98856014481694e-05,-1.8917395552365,-0.87484167310322,-3.4262332617131e-05,0.183363466407995,0,-0.0192225105658083,-0.221440997945855,MV-002,sine_steer_40kmh
20,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.014,39.9885825607444,-0.0471877069720535,-0.425684011893546,-6.9370768637512e-05,-1.8909224118769,-0.863731007753804,-3.93009567464927e-05,0.194474820875325,0,-0.0214490383586458,-0.247064077580568,MV-002,sine_steer_40kmh
21,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.015,39.9879331889219,-0.0502672379735315,-0.444736295598026,-7.95385347506949e-05,-1.89010228266884,-0.852620414565216,-4.48792509370391e-05,0.205586118961959,0,-0.0237643048337991,-0.273866066582457,MV-002,sine_steer_40kmh
22,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.016,39.9872913808255,-0.0533125545129614,-0.463299022481774,-9.03858847257836e-05,-1.88927916890733,-0.841509893915318,-5.10217420272294e-05,0.216697369896465,0,-0.0261635805024058,-0.30178932053792,MV-002,sine_steer_40kmh
23,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.017,39.9866560524578,-0.0563241038221497,-0.481450796176534,-0.000101909800544237,-1.88845307189211,-0.830399446416186,-5.77520419804385e-05,0.227808581189688,0,-0.0286422559062711,-0.330785695103289,MV-002,sine_steer_40kmh
