metric,value,unit
duration,20,s
v_start,40,km/h
v_end,31.243638,km/h
v_max,40,km/h
max_abs_beta,0.542538,deg
max_abs_yaw_rate,13.064097,deg/s
max_abs_delta1,3,deg
max_abs_delta3,0.625521,deg
