sample_index,run_number,run_timestamp_local_iso8601,run_timestamp_utc_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name,run_status
1,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0,20,0,0,-1.05819009496492,0,0,0,0,0,-0,MV-201-20,step_steer_python_20kmh,COMPLETED
2,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.01,19.9988351579621,1.04038986627149e-07,-8.27101390199632e-05,-1.00818890099212,1.66216751323968e-09,0.0500097543571127,0,0,-1.48732483245334e-09,-6.29435869094253e-08,MV-201-20,step_steer_python_20kmh,COMPLETED
3,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.02,19.996404127937,3.90096517871679e-07,-0.000111693397526901,-0.95263794950716,2.68816258934726e-08,0.105568107006048,0,0,-5.58904981676516e-09,-2.36528588245502e-07,MV-201-20,step_steer_python_20kmh,COMPLETED
4,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.03,19.9937504155219,-9.04686680713159e-07,-7.13974806922695e-05,-0.897093765301076,4.01217555551608e-08,0.161121275703486,0,0,1.28748762832932e-08,5.44864764308967e-07,MV-201-20,step_steer_python_20kmh,COMPLETED
5,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.04,19.9912595888585,-2.34024064477858e-06,-0.000161159427225835,-0.841555657361318,5.93026077468798e-08,0.216672864517253,0,0,3.35042142242938e-08,1.41789834597211e-06,MV-201-20,step_steer_python_20kmh,COMPLETED
6,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.05,19.9892125885236,-4.02519134419419e-06,-0.000239292906033832,-0.786023611167849,9.49686373180725e-08,0.272219524364647,0,0,5.78684953294529e-08,2.44899472234245e-06,MV-201-20,step_steer_python_20kmh,COMPLETED
7,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.06,19.9877824380339,-6.80431205351663e-06,-0.000258059080534888,-0.730497010928498,1.38848809961132e-07,0.327758450259423,0,0,9.80739297779655e-08,4.1504887082035e-06,MV-201-20,step_steer_python_20kmh,COMPLETED
8,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.07,19.9870597477723,-1.07920099669716e-05,-0.000228529228291127,-0.67497454524779,1.82171546595906e-07,0.383288819285867,0,0,1.55885338046108e-07,6.59706750611131e-06,MV-201-20,step_steer_python_20kmh,COMPLETED
9,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.08,19.9870549877354,-1.54130314578492e-05,-0.000158202354362826,-0.619454453824837,2.1905345481644e-07,0.438811468686865,0,0,2.23221775943458e-07,9.44674555792715e-06,MV-201-20,step_steer_python_20kmh,COMPLETED
10,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.09,19.9877167654363,-1.97614014477227e-05,-5.23537217471401e-05,-0.563934758870565,2.46375197552967e-07,0.494328549064102,0,0,2.87206393173201e-07,1.21545745590899e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
11,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.1,19.9889630365319,-2.29262006823215e-05,7.90583596814512e-05,-0.508413446472477,2.64191692360822e-07,0.549843139673511,0,0,3.34784619642267e-07,1.41680851032607e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
12,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.11,19.9907086995642,-2.42884389884715e-05,0.000222876998282758,-0.452888590548889,2.75573400819541e-07,0.605358814295033,0,0,3.56967634260233e-07,1.51068702818931e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
13,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.12,19.9928819037546,-2.37429674026332e-05,0.000367087224994485,-0.397358425441656,2.85573987366952e-07,0.660879219854008,0,0,3.52039276167374e-07,1.48983021674033e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
14,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.13,19.9954302843377,-2.17779675416092e-05,0.000503128901481936,-0.341821381895516,2.99764345439463e-07,0.716407715786433,0,0,3.26753121183765e-07,1.3828192088497e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
15,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.14,19.9983207818205,-1.93905261610305e-05,0.000625779793697813,-0.286276098796468,3.2281349610538e-07,0.77194710235793,0,0,2.95195649597233e-07,1.24926798909549e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
16,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.15,20.0015358511666,-1.78775701607214e-05,0.000732314176604109,-0.230721418894836,3.57430575565735e-07,0.827499450562618,0,0,2.7585761204095e-07,1.1674294141573e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
17,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.16,20.0050678945288,-1.8565387618006e-05,0.000821352974358884,-0.175156374560786,4.03816033814763e-07,0.883066032597648,0,0,2.87802730482841e-07,1.21798115540338e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
18,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.17,20.0089129789536,-2.25616427491499e-05,0.000895710450530061,-0.119580168607036,4.59689748117457e-07,0.938647342578685,0,0,3.47126012440121e-07,1.46903728464659e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
19,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.18,20.0130662338897,-3.05270025259907e-05,0.000956352971227976,-0.0639921511927681,5.20797590955738e-07,0.994243196212395,0,0,4.63663131502843e-07,1.96222237252003e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
20,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.19,20.0175183595761,-4.25134570466218e-05,0.00100545831857789,-0.00839179215828378,5.81734871073045e-07,1.04985289764633,0,0,6.38626269442631e-07,2.70266637228121e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
21,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.2,20.0222541565925,-5.79195495067819e-05,0.00104582655548823,0.0472213521296047,6.37044033890661e-07,1.10547545975147,0,0,8.63892177373394e-07,3.65599169464421e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
22,2026年09月25日_14时38分21秒_第003次,2026-09-25T14:38:21+08:00,2026-09-25T06:38:21Z,0.21,20.027252260586,-7.55599262966262e-05,0.00107971942961698,0.102847677238523,6.82292385886722e-07,1.16110985867595,0,0,1.12291924980699e-06,4.75219426518318e-05,MV-201-20,step_steer_python_20kmh,COMPLETED
