sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0,0.1,0,0,-1.05819009496492,0,0,0,0,0,-0,MV-202,sine_steer_python
2,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.001,0.1,0,0,-1.05819009496492,0,0,0,0,-5.17221194896513e-20,-2.18888009680204e-18,MV-202,sine_steer_python
3,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.002,40,0,4.70468973902359e-20,-1.05816231718715,0,2.77777777777778e-05,0,0,2.67534470569898e-19,1.13220587945181e-17,MV-202,sine_steer_python
4,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.003,39.9999363799055,-6.88103037311152e-23,-1.35167405148714e-19,-1.04150933490558,6.50844639819579e-25,0.0166815574786947,0,0,7.31073377142639e-19,3.09390253206765e-17,MV-202,sine_steer_python
5,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.004,39.9998414837442,2.54163524943019e-22,3.83868505403694e-21,-1.03039800033508,-5.04288880248179e-25,0.0277938663213059,0,0,1.03000126424441e-18,4.35896535028236e-17,MV-202,sine_steer_python
6,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.005,39.9997241953331,5.4814264136315e-23,-3.78839206789404e-17,-1.01928666014415,-3.87721144528118e-24,0.0389063221798464,0,0,1.31833909895584e-18,5.57921106678112e-17,MV-202,sine_steer_python
7,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.006,39.9995875670723,-5.52141032886269e-21,-7.16612927725372e-15,-1.00817533870153,-1.24098464772644e-21,0.0500188251316008,0,0,1.80694784392653e-18,7.64700327549709e-17,MV-202,sine_steer_python
8,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.007,39.999435128047,1.08450681194102e-17,2.81846061828959e-15,-0.997064055401085,-2.28694468445416e-19,0.0611312995269775,0,0,2.22490197762294e-18,9.41578516930026e-17,MV-202,sine_steer_python
9,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.008,39.9992695129942,4.68159564827173e-18,-2.0460571839142e-15,-0.985952824258673,-4.10265091199248e-20,0.0722436919967298,0,0,2.10161466200399e-18,8.89403324960089e-17,MV-202,sine_steer_python
10,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.009,39.999092734968,8.89732364601212e-18,3.57428660984773e-15,-0.974841655249886,-1.6263819017358e-19,0.0833559665985527,0,0,1.75292864175692e-18,7.41839401191528e-17,MV-202,sine_steer_python
11,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.01,39.9989063027499,3.61798363107776e-18,-2.55429667863142e-15,-0.963730555026502,5.51078131755244e-19,0.0944681018261549,0,0,1.29675843605216e-18,5.48788170137273e-17,MV-202,sine_steer_python
12,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.011,39.9987113330902,4.5406454261481e-18,-2.19548256209593e-15,-0.952619527612597,7.39199772720225e-19,0.105580087675898,0,0,7.0270361773806e-19,2.97384171026747e-17,MV-202,sine_steer_python
13,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.012,39.998508644658,2.57814395830308e-18,-2.90213098811731e-15,-0.94150857501196,6.26179146030742e-19,0.116691923031388,0,0,1.66896870283845e-19,7.0630755504123e-18,MV-202,sine_steer_python
14,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.013,39.9982988360524,3.31904801124625e-18,3.05210428556178e-15,-0.930397697730866,9.54193537334788e-20,0.127803613372633,0,0,-3.48851615360152e-19,-1.47634003620416e-17,MV-202,sine_steer_python
15,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.014,39.9980823493294,-1.58024190111494e-18,5.15874816451568e-16,-0.919286895219258,4.61547308062547e-19,0.138915168810489,0,0,-7.34507922810917e-19,-3.1084375293358e-17,MV-202,sine_steer_python
16,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.015,39.9978595206417,-3.93525379134849e-18,-2.81302292491351e-15,-0.908176166235353,8.51108993575526e-19,0.150026602436393,0,0,-2.42070527894293e-19,-1.02444247404865e-17,MV-202,sine_steer_python
17,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.016,39.9976306196278,-4.53646062944479e-18,3.40132287737968e-15,-0.897065509140129,5.56168224949887e-19,0.161137928968481,0,0,-2.80218725965401e-19,-1.18588564828558e-17,MV-202,sine_steer_python
18,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.017,39.9973958791561,-1.26029637554177e-17,-5.89656233628998e-15,-0.88595492212897,1.36752765962103e-18,0.172249163669391,0,0,2.50289032522511e-19,1.05922318563527e-17,MV-202,sine_steer_python
19,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.018,39.9971555169552,-1.11101552554933e-17,1.3693563499136e-15,-0.874844403408135,8.408851231541e-19,0.183360321507585,0,0,4.10408482772922e-19,1.73684869909501e-17,MV-202,sine_steer_python
20,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.019,39.9969097505514,-1.84381908938129e-17,-2.32390664327075e-15,-0.863733951323735,9.36282307014162e-19,0.194471416532309,0,0,6.95132952778755e-19,2.94180265615969e-17,MV-202,sine_steer_python
21,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.02,39.9966588068039,-1.87440474589645e-17,-1.5010683793824e-16,-0.852623564450619,9.06924400341553e-19,0.205582461432206,0,0,1.0641828563785e-18,4.50362184819382e-17,MV-202,sine_steer_python
22,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.021,39.9964029271829,-2.36450087913803e-17,-9.72395675357931e-16,-0.84151324164818,8.90129210332067e-19,0.216693467248423,0,0,8.80856447769308e-19,3.72778448695971e-17,MV-202,sine_steer_python
23,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.022,39.9961423697921,-2.61876687866956e-17,-7.51931126661879e-15,-0.830402982089455,8.63251163340885e-19,0.227804443214823,0,0,4.48618473708666e-19,1.89855338073507e-17,MV-202,sine_steer_python
24,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.023,39.9958774089901,-1.92171840178061e-17,4.85919068630871e-15,-0.819292785269281,6.12292164110629e-19,0.238915396700141,0,0,-1.54201431354514e-19,-6.52580457492302e-18,MV-202,sine_steer_python
25,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.024,39.9956083338563,-3.22405760750579e-17,-8.54714778556106e-15,-0.808182650996545,1.4056440026222e-18,0.250026333229494,0,0,-8.07771685295438e-19,-3.4184897721703e-17,MV-202,sine_steer_python
26,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.025,39.99533544599,-2.59170514880456e-17,6.45795836461962e-15,-0.797072579374655,4.28287717179449e-19,0.261137256565645,0,0,-1.29059220134603e-18,-5.46178619609638e-17,MV-202,sine_steer_python
27,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.026,39.9950590505453,-3.8950382211922e-17,-3.66454672636419e-15,-0.785962570773795,9.84550879887167e-19,0.272248168833044,0,0,-1.53995813067949e-18,-6.51710280903562e-17,MV-202,sine_steer_python
28,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.027,39.994779457231,-3.66571374919062e-17,3.01502740487719e-15,-0.774852625800649,6.06953224722213e-19,0.283359070667495,0,0,-1.37104359872866e-18,-5.80225650981969e-17,MV-202,sine_steer_python
29,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.028,39.9944969749632,-4.460129461172e-17,-9.37217278186397e-16,-0.763742745262857,7.76867520171121e-19,0.29446996138497,0,0,-1.38500724230641e-18,-5.86135064944071e-17,MV-202,sine_steer_python
30,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.029,39.9942119082132,-4.58616238588886e-17,1.43137773150126e-15,-0.752632930134257,6.21871490133711e-19,0.305580839155719,0,0,-1.34157891411861e-18,-5.67756196454994e-17,MV-202,sine_steer_python
31,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.03,39.9939245536306,-5.10138760355985e-17,-2.33696169142331e-15,-0.741523181520838,6.69796637038631e-19,0.316691701177813,0,0,-7.51315674592458e-19,-3.17956793487528e-17,MV-202,sine_steer_python
32,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.031,39.9936351971338,-5.01670171011146e-17,5.2452175816076e-15,-0.730413500628717,-3.97164312561122e-20,0.327802543844251,0,0,-4.35613207729429e-19,-1.84351509511095e-17,MV-202,sine_steer_python
33,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.032,39.9933441115053,-5.7100926689146e-17,-1.38116273206909e-15,-0.719303888734823,3.75300894284056e-19,0.338913362899615,0,0,-9.53098384706537e-20,-4.03351236407806e-18,MV-202,sine_steer_python
34,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.033,39.9930515545028,-5.56944391409913e-17,8.28268837893264e-15,-0.708194347160738,6.99813628456453e-20,0.350024153583603,0,0,3.99653789705402e-19,1.69133483803326e-17,MV-202,sine_steer_python
35,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.034,39.9927577674727,-6.85410338608462e-17,-6.23959940910849e-15,-0.697084877249889,8.86071302580713e-21,0.361134910759844,0,0,1.06690060007643e-18,4.51512333952345e-17,MV-202,sine_steer_python
36,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.035,39.992462974433,-5.57541844546117e-17,5.43964598623428e-15,-0.685975480348136,-2.77546961448341e-19,0.372245629029319,0,0,1.20187758544818e-18,5.08634594161668e-17,MV-202,sine_steer_python
37,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.036,39.9921673815805,-6.53854397930174e-17,-9.07790729171845e-16,-0.674866157787657,-8.81836636365994e-20,0.383356302828386,0,0,1.07320928895324e-18,4.54182171085009e-17,MV-202,sine_steer_python
38,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.037,39.9918711771726,-6.22284096393609e-17,4.77329521654728e-15,-0.663756910873921,-2.51862272382992e-19,0.394466926511952,0,0,1.04756943745508e-18,4.43331385930989e-17,MV-202,sine_steer_python
39,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.038,39.9915745317258,-6.8900680844006e-17,-4.24359379612515e-15,-0.652647740875499,4.69143803075535e-19,0.405577494422698,0,0,1.05783189639205e-18,4.47674458553118e-17,MV-202,sine_steer_python
40,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.039,39.991277598477,-6.55229892137863e-17,2.86538086517719e-15,-0.641538649016401,-5.60731369241717e-21,0.416688000947533,0,0,7.05622036603412e-19,2.98619245890564e-17,MV-202,sine_steer_python
41,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.04,39.9909805140532,-7.1502402981002e-17,-1.88062096268238e-15,-0.630429636470632,2.97896452835252e-19,0.427798440562589,0,0,3.4773378900361e-19,1.47160939506328e-17,MV-202,sine_steer_python
42,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.041,39.9906833992991,-7.06014222777453e-17,3.46053726803619e-15,-0.619320704358625,1.2662122595681e-19,0.438908807868147,0,0,2.13444225074477e-19,9.03295960515185e-18,MV-202,sine_steer_python
43,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.042,39.9903863602172,-7.78820160819777e-17,-5.72951911477092e-15,-0.608211853745258,8.68340203443862e-19,0.450019097614894,0,0,-2.50433362291142e-19,-1.05983398921611e-17,MV-202,sine_steer_python
44,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.043,39.9900894889806,-7.50003585938243e-17,-4.59100413074364e-15,-0.597103085639144,1.72775674090983e-19,0.46112930472284,0,0,-1.20488050620927e-19,-5.09905430227764e-18,MV-202,sine_steer_python
45,2026年09月01日_12时41分28秒_第017次,2026-09-01T12:41:28,0.044,39.9897928649831,-7.06333363652084e-17,-4.7732284951473e-16,-0.585994400992934,4.1887709944899e-19,0.472239424294174,0,0,5.16956835293755e-19,2.18776132696317e-17,MV-202,sine_steer_python
