metric,value,unit
duration,10,s
v_start,40,km/h
v_end,39.905867,km/h
v_max,40.496548,km/h
max_abs_beta,0.54063,deg
max_abs_yaw_rate,12.872089,deg/s
max_abs_delta1,3,deg
max_abs_delta3,0.598645,deg
