metric,value,unit
duration,20,s
sample_count,2001,count
sample_period_median,0.00999999999999979,s
v_start,40,km/h
v_end,40.010182,km/h
v_max,40.496548,km/h
v_end_error,0.0101820000000004,km/h
v_end_error_percent,0.0254550000000009,%
max_abs_beta,0.54063,deg
max_abs_yaw_rate,12.937997,deg/s
max_abs_delta1,3,deg
max_abs_delta2,0.070888,deg
max_abs_delta3,0.598645,deg
execution_status,PASS,
acceptance_status,NOT_EVALUATED,
