sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0,40,0,0,-1.05819009496492,0,0,0,0,0,0,MV-201,step_steer_python
2,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.001,40,0,0,-1.05819009496492,0,0,0,0,-3.12784156785609e-10,-1.3237025515167e-08,MV-201,step_steer_python
3,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.002,40,5.29668755766019e-36,4.97887843964803e-20,-1.04707898385381,0,0.0111111111111111,0,0,-9.34317728415906e-09,-3.95403262665612e-07,MV-201,step_steer_python
4,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.003,39.9999381705798,3.93668489340548e-11,1.76122003898037e-05,-1.03596766823891,-7.87965761303239e-24,0.0222232241453614,0,0,-3.01694787986799e-09,-1.27677234276013e-07,MV-201,step_steer_python
5,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.004,39.9998532496361,-2.63796010605729e-08,2.32788183600082e-05,-1.02485633299664,-6.42798820217347e-10,0.0333355333698554,0,0,6.73759092131244e-09,2.85134847789942e-07,MV-201,step_steer_python
6,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.005,39.9997469298524,-4.87224696292891e-08,2.19739484019581e-05,-1.01374498821505,-1.17330702478737e-09,0.044447993573125,0,0,9.462275969574e-09,4.00443519032372e-07,MV-201,step_steer_python
7,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.006,39.9996233829017,-6.47273987360175e-08,1.39451694827342e-05,-1.00263365898442,-1.58289783655086e-09,0.0555605041157491,0,0,7.55602426971571e-09,3.19770947094369e-07,MV-201,step_steer_python
8,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.007,39.999485813831,-6.82710920972936e-08,1.9013872588171e-07,-0.991522363924688,-1.71317503803439e-09,0.0666729902454697,0,0,4.64936459605612e-09,1.96761109705095e-07,MV-201,step_steer_python
9,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.008,39.9993367200379,-5.55474260759153e-08,-1.73784646664981e-05,-0.980411116571147,-1.47222868554353e-09,0.0777853991854757,0,0,2.75690879788091e-09,1.1667238032632e-07,MV-201,step_steer_python
10,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.009,39.9991780284182,-2.52585074856131e-08,-3.6762821705746e-05,-0.969299926431254,-8.20101704750595e-10,0.0888976955727944,0,0,2.81196268028957e-09,1.19002260629855e-07,MV-201,step_steer_python
11,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.01,39.9990111947494,2.18793810168049e-08,-5.61171528280476e-05,-0.95818879970721,2.42013120391468e-10,0.100009858455111,0,0,5.04148892287423e-09,2.13355811216037e-07,MV-201,step_steer_python
12,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.011,39.9988372967215,8.35298889185942e-08,-7.38701960550795e-05,-0.94707773998625,1.67625661943652e-09,0.11112187835985,0,0,9.17384028909236e-09,3.88236921034389e-07,MV-201,step_steer_python
13,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.012,39.9986571149373,1.561940888637e-07,-8.88253127626068e-05,-0.935966748847425,3.41863507682344e-09,0.122233754677148,0,0,1.4623458909927e-08,6.18864781068111e-07,MV-201,step_steer_python
14,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.013,39.9984712024069,2.35694441483793e-07,-0.000100177296176239,-0.924855826386227,5.38817142129176e-09,0.133345493365881,0,0,2.0619429003549e-08,8.72614235430196e-07,MV-201,step_steer_python
15,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.014,39.9982799430758,3.17602256437644e-07,-0.00010749360199909,-0.913744971659172,7.49564684904305e-09,0.144457104984225,0,0,2.62661868772697e-08,1.11158502864605e-06,MV-201,step_steer_python
16,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.015,39.9980836001561,3.97596341332253e-07,-0.00011066893344415,-0.902634183052548,9.65097515589898e-09,0.155568603035347,0,0,3.05579074333351e-08,1.29321064257874e-06,MV-201,step_steer_python
17,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.016,39.9978823551969,4.71740108432058e-07,-0.000109865621565665,-0.8915234585812,1.17690421764014e-08,0.166680002609773,0,0,3.23804368938309e-08,1.37034008934692e-06,MV-201,step_steer_python
18,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.017,39.9976763389282,5.366761419139e-07,-0.000105449068321435,-0.880412796124208,1.3773976806941e-08,0.177791319300026,0,0,3.05358525297406e-08,1.29227727905862e-06,MV-201,step_steer_python
19,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.018,39.9974656549414,5.89744319031049e-07,-9.79245659384124e-05,-0.869302193604832,1.56019382469818e-08,0.188902568359522,0,0,2.38176679532301e-08,1.0079637077807e-06,MV-201,step_steer_python
20,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.019,39.9972503972516,6.29033421891213e-07,-8.78797905717464e-05,-0.85819164912223,1.72025999486576e-08,0.200013764075969,0,0,1.11464676460875e-08,4.71718510782424e-07,MV-201,step_steer_python
21,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.02,39.9970306627398,6.53378290513269e-07,-7.59354650497617e-05,-0.84708116104228,1.85395486037398e-08,0.211124919329255,0,0,-8.25355702184956e-09,-3.49290533164673e-07,MV-201,step_steer_python
22,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.021,39.996806559394,6.62315099935383e-07,-6.27053408356692e-05,-0.835970728054461,1.95898314651818e-08,0.222236045304681,0,0,-3.46845852729172e-08,-1.46785164874986e-06,MV-201,step_steer_python
23,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.022,39.9965782111821,6.56006839011751e-07,-4.87656577274604e-05,-0.824860349201221,2.03428784202927e-08,0.233347151334063,0,0,-6.78665928254351e-08,-2.87211420837241e-06,MV-201,step_steer_python
24,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.023,39.9963457602919,6.35149887505202e-07,-3.46335541186085e-05,-0.813750023885644,2.07990050971982e-08,0.244458244839452,0,0,-1.06924629621898e-07,-4.52505032559873e-06,MV-201,step_steer_python
25,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.024,39.9961093681667,6.00871020114395e-07,-2.07513976134873e-05,-0.802639751862531,2.09676754757597e-08,0.255569331356801,0,0,-1.50470165374072e-07,-6.36789739863074e-06,MV-201,step_steer_python
26,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.025,39.9958692140161,5.54619333124097e-07,-7.48736708142315e-06,-0.791529533217031,2.08656749460734e-08,0.266680414619962,0,0,-1.96745330123843e-07,-8.32626237084102e-06,MV-201,step_steer_python
27,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.026,39.9956254900937,4.98074158079927e-07,4.87532064529822e-06,-0.780419368335144,2.05152934830562e-08,0.277791496687249,0,0,-2.43791320837678e-07,-1.03172486978505e-05,MV-201,step_steer_python
28,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.027,39.9953784014669,4.33043259452427e-07,1.61302720435123e-05,-0.769309257870027,1.99426430813184e-08,0.288902578095237,0,0,-2.8961501084209e-07,-1.22565072588372e-05,MV-201,step_steer_python
29,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.028,39.9951281621841,3.61384352354107e-07,2.61430866182096e-05,-0.75819920270419,1.91760978302865e-08,0.300013658030406,0,0,-3.32346712913874e-07,-1.40649128905151e-05,MV-201,step_steer_python
30,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.029,39.9948749920525,2.84934979555837e-07,3.48431614110358e-05,-0.747089203911682,1.82449762763851e-08,0.311124734506819,0,0,-3.70391761194427e-07,-1.56749793337481e-05,MV-201,step_steer_python
31,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.03,39.994619113455,2.05456108955972e-07,4.22145059617456e-05,-0.735979262721039,1.71784231733022e-08,0.322235804543081,0,0,-4.02573314470144e-07,-1.70369026683765e-05,MV-201,step_steer_python
32,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.031,39.9943607483717,1.24588588002374e-07,4.82860882142148e-05,-0.724869380480258,1.60045186783293e-08,0.333346864332815,0,0,-4.28250431396045e-07,-1.81235582566806e-05,MV-201,step_steer_python
33,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.032,39.9941001156864,4.38217077216072e-08,5.31223044073294e-05,-0.713759558624547,1.47495985666792e-08,0.344457909404539,0,0,-4.47387101189624e-07,-1.89334221223449e-05,MV-201,step_steer_python
34,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.033,39.9938374288324,-3.55272825824463e-08,5.68139819744209e-05,-0.702649798647353,1.34377696203226e-08,0.35556893476826,0,0,-4.60552935199448e-07,-1.94906002176406e-05,MV-201,step_steer_python
35,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.034,39.9935728938009,-1.12324112816322e-07,5.94701970858025e-05,-0.69154010207491,1.2090598235825e-08,0.366679935047127,0,0,-4.68851946626768e-07,-1.98418143812448e-05,MV-201,step_steer_python
36,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.035,39.9933067075186,-1.85620388677886e-07,6.12110825684721e-05,-0.68043047044438,1.07269475028912e-08,0.377790904593471,0,0,-4.73791373559551e-07,-2.00508509290402e-05,MV-201,step_steer_python
37,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.036,39.9930390565804,-2.54649967195031e-07,6.21617110804639e-05,-0.669320905285502,9.36293736203636e-09,0.3889018375892,0,0,-4.77107966876565e-07,-2.01912091582162e-05,MV-201,step_steer_python
38,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.037,39.9927701163188,-3.18820268078785e-07,6.24470686266728e-05,-0.658211408105566,8.0120029586832e-09,0.400012728131077,0,0,-4.80563930414613e-07,-2.03374655351464e-05,MV-201,step_steer_python
39,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.038,39.9925000501757,-3.77699863780575e-07,6.21880810883782e-05,-0.647101980377457,6.68502792235316e-09,0.411123570301813,0,0,-4.85718526425993e-07,-2.0555608038348e-05,MV-201,step_steer_python
40,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.039,39.9922290093447,-4.31003545269237e-07,6.14986178160912e-05,-0.635992623530463,5.3905315612394e-09,0.422234358228122,0,0,-4.93686891767673e-07,-2.08928292596079e-05,MV-201,step_steer_python
41,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.04,39.9919571326464,-4.78575895359293e-07,6.04833734710806e-05,-0.624883338943532,4.13489155853509e-09,0.433345086127089,0,0,-5.04918384936807e-07,-2.13681460505257e-05,MV-201,step_steer_python
42,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.041,39.9916845465987,-5.20374233386893e-07,5.92365139390389e-05,-0.613774127940619,2.92258659975445e-09,0.44445574834224,0,0,-5.19050513901608e-07,-2.1966217748316e-05,MV-201,step_steer_python
43,2026年09月08日_10时03分23秒_第004次,2026-09-08T10:03:23,0.042,39.9914113656475,-5.56451627865658e-07,5.78409682076302e-05,-0.602664991787832,1.75644609692413e-09,0.455566339370713,0,0,-5.34899897847142e-07,-2.26369636768911e-05,MV-201,step_steer_python
