step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
1,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,OK
2,0.010000,39.999218,-0.000002,0.000128,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
3,0.020000,39.997616,-0.000001,-0.000036,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
4,0.030000,39.995573,0.000001,-0.000115,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,OK
5,0.040000,39.993218,0.000001,-0.000112,0.000000,-0.000000,-0.000001,-0.000001,-0.000000,OK
6,0.050000,39.990713,0.000001,-0.000091,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
7,0.060000,39.988137,0.000000,-0.000087,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
8,0.070000,39.985498,-0.000000,-0.000093,0.000000,0.000000,0.000000,0.000000,0.000000,OK
9,0.080000,39.982762,-0.000000,-0.000102,0.000000,0.000000,0.000000,0.000000,0.000000,OK
10,0.090000,39.979875,-0.000000,-0.000112,0.000000,0.000000,0.000000,0.000000,0.000000,OK
11,0.100000,39.976774,0.000001,-0.000118,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
12,0.110000,39.973398,0.000002,-0.000118,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
13,0.120000,39.969698,0.000003,-0.000112,0.000000,-0.000000,-0.000002,-0.000002,0.000000,OK
14,0.130000,39.965636,0.000004,-0.000099,0.000000,-0.000000,-0.000002,-0.000002,0.000000,OK
15,0.140000,39.961187,0.000005,-0.000079,0.000000,-0.000000,-0.000003,-0.000003,0.000000,OK
16,0.150000,39.956335,0.000005,-0.000055,0.000000,-0.000000,-0.000003,-0.000003,0.000000,OK
17,0.160000,39.951079,0.000006,-0.000028,0.000000,-0.000000,-0.000003,-0.000003,0.000000,OK
18,0.170000,39.945426,0.000005,0.000001,0.000000,-0.000000,-0.000003,-0.000003,0.000000,OK
