sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,state_steer_delta_deg,case_id,case_name
29,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.028,39.994497679334,0.000553825650579038,0.00687230618864549,-0.763742743691248,1.18073598979427e-06,0.29446996306372,0,0.0703571558104756,MV-002,sine_steer_20kmh
30,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.029,39.9942126697609,0.000612154313013954,0.0075578142866791,-0.752632928355517,1.33468665428254e-06,0.305580841056507,0,0.0728688181100774,MV-002,sine_steer_20kmh
31,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.03,39.9939253733549,0.000673938398401639,0.00828609772885718,-0.741523179518628,1.50351704239763e-06,0.316691703318193,0,0.0753803653398691,MV-002,sine_steer_20kmh
32,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.031,39.993636075765,0.000739220949075123,0.0090580295270038,-0.730413498386457,1.68812760452845e-06,0.327802546242019,0,0.0778917935337747,MV-002,sine_steer_20kmh
33,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.032,39.9933450494846,0.000808041470516369,0.00987445890263002,-0.719303886235776,1.88943676713247e-06,0.338913365572727,0,0.0804030987259064,MV-002,sine_steer_20kmh
34,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.033,39.9930525519632,0.000880435944027359,0.0107362111272972,-0.708194344388092,2.10838030908869e-06,0.350024156550075,0,0.0829142769505705,MV-002,sine_steer_20kmh
35,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.034,39.9927588242202,0.000956436839027237,0.0116440874058579,-0.697084874186851,2.34591074649848e-06,0.361134914037651,0,0.0854253242422738,MV-002,sine_steer_20kmh
36,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.035,39.9924640899279,0.0010360731306749,0.0125988648523762,-0.685975476978032,2.60299672655076e-06,0.372245632636289,0,0.0879362366357298,MV-002,sine_steer_20kmh
37,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.036,39.9921685549207,0.00111937032719102,0.0136012965906755,-0.67486615409403,2.88062243166403e-06,0.383356306782084,0,0.0904470101658652,MV-002,sine_steer_20kmh
38,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.037,39.9918724070767,0.00120635050995787,0.0146521119957313,-0.663756906840639,3.17978699554501e-06,0.394466930829565,0,0.0929576408678259,MV-002,sine_steer_20kmh
39,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.038,39.9915758165184,0.00129703238826824,0.0157520170822596,-0.652647736486869,3.50150393302776e-06,0.40557749912091,0,0.0954681247769833,MV-002,sine_steer_20kmh
40,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.039,39.9912789360744,0.00139143136951032,0.0169016950375762,-0.641538644257285,3.84680058576e-06,0.416688006042395,0,0.0979784579289406,MV-002,sine_steer_20kmh
41,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.04,39.9909819019509,0.0014895596446443,0.0181018068891799,-0.630429631326564,4.21671758577237e-06,0.427798446069389,0,0.100488636359539,MV-002,sine_steer_20kmh
42,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.041,39.9906848345605,0.00159142628806001,0.0193529922934434,-0.619320698815939,4.61230833891876e-06,0.438908813801273,0,0.102998656104864,MV-002,sine_steer_20kmh
43,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.042,39.9903878394636,0.00169703737030457,0.0206558704277585,-0.608211847791212,5.03463852996872e-06,0.450019103987694,0,0.105508513201253,MV-002,sine_steer_20kmh
44,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.043,39.9900910083828,0.00180639608173385,0.022011040966674,-0.597103079262051,5.48478565091977e-06,0.46112931154748,0,0.108018203685298,MV-002,sine_steer_20kmh
45,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.044,39.9897944202538,0.00191950286485576,0.0234190851216771,-0.585994394182293,5.96383855376871e-06,0.472239431581492,0,0.110527723593854,MV-002,sine_steer_20kmh
46,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.045,39.9894981422854,0.00203635555298343,0.0248805667236137,-0.574885793451019,6.47289702867625e-06,0.483349459380564,0,0.113037068964049,MV-002,sine_steer_20kmh
47,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.046,39.9892022310049,0.00215694951278322,0.0263960333271973,-0.563777277914189,7.01307140808454e-06,0.494459390429573,0,0.115546235833283,MV-002,sine_steer_20kmh
48,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.047,39.9889067332681,0.00228127778836649,0.0279660173187921,-0.552668848366649,7.58548219702343e-06,0.505569220408538,0,0.118055220239238,MV-002,sine_steer_20kmh
