step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,OK
1,0.010000,19.998835,0.000000,-0.000083,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
2,0.020000,19.996404,0.000000,-0.000112,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
3,0.030000,19.993750,-0.000001,-0.000071,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
4,0.040000,19.991260,-0.000002,-0.000161,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
5,0.050000,19.989213,-0.000004,-0.000239,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
6,0.060000,19.987782,-0.000007,-0.000258,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
7,0.070000,19.987060,-0.000011,-0.000229,0.000000,0.000000,0.000007,0.000007,-0.000000,OK
8,0.080000,19.987055,-0.000015,-0.000158,0.000000,0.000000,0.000009,0.000009,-0.000000,OK
9,0.090000,19.987717,-0.000020,-0.000052,0.000000,0.000000,0.000012,0.000012,-0.000001,OK
10,0.100000,19.988963,-0.000023,0.000079,0.000000,0.000000,0.000014,0.000014,-0.000001,OK
11,0.110000,19.990709,-0.000024,0.000223,0.000000,0.000000,0.000015,0.000015,-0.000001,OK
12,0.120000,19.992882,-0.000024,0.000367,0.000000,0.000000,0.000015,0.000015,-0.000001,OK
13,0.130000,19.995430,-0.000022,0.000503,0.000000,0.000000,0.000014,0.000014,-0.000002,OK
14,0.140000,19.998321,-0.000019,0.000626,0.000000,0.000000,0.000012,0.000012,-0.000002,OK
15,0.150000,20.001536,-0.000018,0.000732,0.000000,0.000000,0.000012,0.000012,-0.000002,OK
16,0.160000,20.005068,-0.000019,0.000821,0.000000,0.000000,0.000012,0.000012,-0.000002,OK
17,0.170000,20.008913,-0.000023,0.000896,0.000000,0.000000,0.000015,0.000015,-0.000002,OK
18,0.180000,20.013066,-0.000031,0.000956,0.000000,0.000000,0.000020,0.000020,-0.000003,OK
19,0.190000,20.017518,-0.000043,0.001005,0.000000,0.000001,0.000027,0.000027,-0.000003,OK
20,0.200000,20.022254,-0.000058,0.001046,0.000000,0.000001,0.000037,0.000037,-0.000004,OK
21,0.210000,20.027252,-0.000076,0.001080,0.000000,0.000001,0.000048,0.000048,-0.000004,OK
22,0.220000,20.032485,-0.000094,0.001108,0.000000,0.000001,0.000059,0.000059,-0.000005,OK
23,0.230000,20.037921,-0.000111,0.001129,0.000000,0.000002,0.000070,0.000070,-0.000006,OK
24,0.240000,20.043521,-0.000124,0.001144,0.000000,0.000002,0.000078,0.000078,-0.000008,OK
25,0.250000,20.049247,-0.000133,0.001148,0.000000,0.000002,0.000085,0.000085,-0.000009,OK
26,0.260000,20.055059,-0.000137,0.001141,0.000000,0.000002,0.000087,0.000087,-0.000010,OK
27,0.270000,20.060924,-0.000135,0.001117,0.000000,0.000002,0.000087,0.000087,-0.000012,OK
28,0.280000,20.066817,-0.000129,0.001060,0.000000,0.000002,0.000084,0.000084,-0.000013,OK
29,0.290000,20.072717,-0.000117,0.001009,0.000000,0.000002,0.000077,0.000077,-0.000014,OK
30,0.300000,20.078618,-0.000103,0.000972,0.000000,0.000002,0.000069,0.000069,-0.000015,OK
31,0.310000,20.084526,-0.000088,0.000914,0.000000,0.000001,0.000061,0.000061,-0.000016,OK
32,0.320000,20.090454,-0.000072,0.000821,0.000000,0.000001,0.000051,0.000051,-0.000017,OK
33,0.330000,20.096420,-0.000056,0.000716,0.000000,0.000001,0.000042,0.000042,-0.000017,OK
34,0.340000,20.102440,-0.000042,0.000619,0.000000,0.000001,0.000034,0.000034,-0.000018,OK
35,0.350000,20.108524,-0.000030,0.000530,0.000000,0.000001,0.000027,0.000027,-0.000018,OK
36,0.360000,20.114675,-0.000019,0.000442,0.000000,0.000000,0.000021,0.000021,-0.000018,OK
37,0.370000,20.120882,-0.000010,0.000355,0.000000,0.000000,0.000015,0.000015,-0.000018,OK
38,0.380000,20.127125,-0.000001,0.000274,0.000000,0.000000,0.000010,0.000010,-0.000018,OK
39,0.390000,20.133379,0.000009,0.000201,0.000000,0.000000,0.000004,0.000004,-0.000018,OK
40,0.400000,20.139615,0.000019,0.000133,0.000000,-0.000000,-0.000002,-0.000002,-0.000018,OK
41,0.410000,20.145811,0.000030,0.000071,0.000000,-0.000000,-0.000009,-0.000009,-0.000018,OK
42,0.420000,20.151950,0.000041,0.000011,0.000000,-0.000000,-0.000016,-0.000016,-0.000017,OK
43,0.430000,20.158027,0.000053,-0.000041,0.000000,-0.000001,-0.000024,-0.000024,-0.000017,OK
44,0.440000,20.164047,0.000065,-0.000087,0.000000,-0.000001,-0.000031,-0.000031,-0.000016,OK
45,0.450000,20.170023,0.000076,-0.000135,0.000000,-0.000001,-0.000038,-0.000038,-0.000015,OK
46,0.460000,20.175969,0.000084,-0.000184,0.000000,-0.000001,-0.000043,-0.000043,-0.000015,OK
47,0.470000,20.181900,0.000090,-0.000232,0.000000,-0.000001,-0.000047,-0.000047,-0.000014,OK
48,0.480000,20.187827,0.000093,-0.000276,0.000000,-0.000001,-0.000049,-0.000049,-0.000013,OK
49,0.490000,20.193756,0.000092,-0.000313,0.000000,-0.000001,-0.000049,-0.000049,-0.000012,OK
50,0.500000,20.199684,0.000088,-0.000342,0.000000,-0.000001,-0.000047,-0.000047,-0.000011,OK
51,0.510000,20.205605,0.000081,-0.000356,0.000000,-0.000001,-0.000044,-0.000044,-0.000010,OK
52,0.520000,20.211511,0.000072,-0.000360,0.000000,-0.000001,-0.000039,-0.000039,-0.000009,OK
53,0.530000,20.217392,0.000062,-0.000358,0.000000,-0.000001,-0.000033,-0.000033,-0.000009,OK
54,0.540000,20.223239,0.000052,-0.000351,0.000000,-0.000001,-0.000027,-0.000027,-0.000008,OK
55,0.550000,20.229046,0.000043,-0.000338,0.000000,-0.000001,-0.000022,-0.000022,-0.000008,OK
56,0.560000,20.234809,0.000034,-0.000320,0.000000,-0.000000,-0.000017,-0.000017,-0.000008,OK
57,0.570000,20.240525,0.000027,-0.000296,0.000000,-0.000000,-0.000013,-0.000013,-0.000007,OK
58,0.580000,20.246193,0.000022,-0.000269,0.000000,-0.000000,-0.000010,-0.000010,-0.000007,OK
59,0.590000,20.251815,0.000017,-0.000242,0.000000,-0.000000,-0.000007,-0.000007,-0.000007,OK
60,0.600000,20.257392,0.000013,-0.000216,0.000000,-0.000000,-0.000005,-0.000005,-0.000007,OK
61,0.610000,20.262927,0.000010,-0.000192,0.000000,-0.000000,-0.000003,-0.000003,-0.000007,OK
62,0.620000,20.268425,0.000006,-0.000173,0.000000,-0.000000,-0.000000,-0.000000,-0.000007,OK
63,0.630000,20.273890,0.000002,-0.000164,0.000000,0.000000,0.000002,0.000002,-0.000007,OK
64,0.640000,20.279328,-0.000002,-0.000156,0.000000,0.000000,0.000005,0.000005,-0.000007,OK
65,0.650000,20.284742,-0.000007,-0.000138,0.000000,0.000000,0.000008,0.000008,-0.000007,OK
66,0.660000,20.290137,-0.000013,-0.000112,0.000000,0.000000,0.000011,0.000011,-0.000007,OK
67,0.670000,20.295514,-0.000019,-0.000085,0.000000,0.000000,0.000015,0.000015,-0.000007,OK
68,0.680000,20.300870,-0.000024,-0.000061,0.000000,0.000000,0.000018,0.000018,-0.000007,OK
69,0.690000,20.306201,-0.000028,-0.000037,0.000000,0.000000,0.000021,0.000021,-0.000007,OK
70,0.700000,20.311498,-0.000031,-0.000010,0.000000,0.000001,0.000023,0.000023,-0.000008,OK
71,0.710000,20.316755,-0.000033,0.000018,0.000000,0.000001,0.000024,0.000024,-0.000008,OK
72,0.720000,20.321963,-0.000033,0.000044,0.000000,0.000001,0.000024,0.000024,-0.000008,OK
73,0.730000,20.327121,-0.000032,0.000066,0.000000,0.000001,0.000023,0.000023,-0.000009,OK
74,0.740000,20.332227,-0.000029,0.000082,0.000000,0.000001,0.000022,0.000022,-0.000009,OK
75,0.750000,20.337285,-0.000026,0.000092,0.000000,0.000000,0.000020,0.000020,-0.000009,OK
76,0.760000,20.342303,-0.000023,0.000096,0.000000,0.000000,0.000018,0.000018,-0.000010,OK
77,0.770000,20.347289,-0.000019,0.000098,0.000000,0.000000,0.000016,0.000016,-0.000010,OK
78,0.780000,20.352249,-0.000016,0.000097,0.000000,0.000000,0.000015,0.000015,-0.000010,OK
79,0.790000,20.357189,-0.000013,0.000095,0.000000,0.000000,0.000013,0.000013,-0.000010,OK
80,0.800000,20.362110,-0.000012,0.000094,0.000000,0.000000,0.000012,0.000012,-0.000010,OK
81,0.810000,20.367013,-0.000011,0.000093,0.000000,0.000000,0.000012,0.000012,-0.000010,OK
82,0.820000,20.371892,-0.000010,0.000092,0.000000,0.000000,0.000011,0.000011,-0.000010,OK
83,0.830000,20.376742,-0.000010,0.000091,0.000000,0.000000,0.000011,0.000011,-0.000010,OK
84,0.840000,20.381558,-0.000010,0.000091,0.000000,0.000000,0.000011,0.000011,-0.000011,OK
85,0.850000,20.386335,-0.000009,0.000090,0.000000,0.000000,0.000011,0.000011,-0.000011,OK
86,0.860000,20.391072,-0.000008,0.000089,0.000000,0.000000,0.000010,0.000010,-0.000011,OK
87,0.870000,20.395767,-0.000007,0.000087,0.000000,0.000000,0.000009,0.000009,-0.000011,OK
88,0.880000,20.400424,-0.000005,0.000083,0.000000,0.000000,0.000008,0.000008,-0.000011,OK
89,0.890000,20.405044,-0.000002,0.000077,0.000000,0.000000,0.000007,0.000007,-0.000011,OK
90,0.900000,20.409632,0.000000,0.000069,0.000000,0.000000,0.000005,0.000005,-0.000011,OK
91,0.910000,20.414190,0.000003,0.000060,0.000000,0.000000,0.000004,0.000004,-0.000011,OK
92,0.920000,20.418720,0.000005,0.000053,0.000000,0.000000,0.000003,0.000003,-0.000011,OK
93,0.930000,20.423224,0.000006,0.000045,0.000000,0.000000,0.000002,0.000002,-0.000011,OK
