sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0,15,0,0,-1.05819009496492,0,0,0,0,0,-0,MV-202,sine_steer_python-1
2,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.001,15,0,0,-1.05819009496492,0,0,0,0,-1.96122075772105e-09,-8.29988624667548e-08,MV-202,sine_steer_python-1
3,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.002,15,9.71059385571035e-36,4.70468973902358e-20,-1.05402342829826,0,0.00416666666666667,0,0,-2.36966372896692e-10,-1.0028416900988e-08,MV-202,sine_steer_python-1
4,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.003,14.9999859808489,1.55738422100045e-10,2.61282466939975e-05,-1.0498565571278,6.50844639819591e-25,0.0083343352564725,0,0,3.15599942272909e-08,1.33561895569895e-06,MV-202,sine_steer_python-1
5,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.004,14.9999387487839,-3.9061218615875e-08,3.17972154857528e-05,-1.0456896462347,-9.53612029490073e-10,0.0125022208115801,0,0,4.79149044678815e-08,2.02775875708074e-06,MV-202,sine_steer_python-1
6,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.005,14.9998580798284,-5.87970530411398e-08,2.64585563690569e-05,-1.04152271666419,-1.6352245487345e-09,0.0166702667746804,0,0,4.93355290069271e-08,2.08787958757315e-06,MV-202,sine_steer_python-1
7,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.006,14.9997433549576,-6.2991471269173e-08,1.09748356553474e-05,-1.03735579714454,-2.07134875043671e-09,0.0208383687599048,0,0,5.8073148895338e-08,2.4576556612507e-06,MV-202,sine_steer_python-1
8,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.007,14.999596452288,-4.42033945738433e-08,-1.25031693766523e-05,-1.03318891167699,-2.0282393322357e-09,0.0250064464726426,0,0,8.15673757085889e-08,3.45193133998748e-06,MV-202,sine_steer_python-1
9,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.008,14.9994208245426,-1.71054008531693e-09,-4.05524736957584e-05,-1.02902207906166,-1.39379094180555e-09,0.0291744417259175,0,0,1.14792312430767e-07,4.85801066207005e-06,MV-202,sine_steer_python-1
10,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.009,14.9992207518394,6.09220775344442e-08,-6.98201549681902e-05,-1.0248553134816,-1.38241396872706e-10,0.0333423143626744,0,0,1.49930810478004e-07,6.34507189942915e-06,MV-202,sine_steer_python-1
11,2026年09月15日_19时21分47秒_第001次,2026-09-15T19:21:47,0.01,14.9990007394227,1.37188202424388e-07,-9.73825107946377e-05,-1.02068862495854,1.70534672833594e-09,0.0375100395247404,0,0,1.79758205405882e-07,7.60736725277694e-06,MV-202,sine_steer_python-1
