sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0,15,0,0,-1.05819009496492,0,0,0,0,0,-0,MV-202,sine_steer_python-1
2,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.001,15,0,0,-1.05819009496492,0,0,0,0,-2.90120800788063e-10,-1.22779122893508e-08,MV-202,sine_steer_python-1
3,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.002,40,3.64147269589138e-36,4.70468973902358e-20,-1.05402342829826,0,0.00416666666666667,0,0,-9.43439692155981e-09,-3.99263677720411e-07,MV-202,sine_steer_python-1
4,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.003,39.9999404166199,4.22265120256461e-11,1.88915763762118e-05,-1.03943989046113,6.50844639819591e-25,0.0187510019231392,0,0,-3.18818572983585e-09,-1.34924020086653e-07,MV-202,sine_steer_python-1
5,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.004,39.9998555282231,-2.82988624845762e-08,2.39207425834073e-05,-1.02832855427729,-6.89492666339569e-10,0.0298633121115287,0,0,6.55621393913419e-09,2.77458973904159e-07,MV-202,sine_steer_python-1
6,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.005,39.9997497213275,-5.06888561174457e-08,2.25353710694916e-05,-1.01721720885529,-1.22024895602304e-09,0.0409757729666719,0,0,9.32491704934868e-09,3.94630489528436e-07,MV-202,sine_steer_python-1
7,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.006,39.9996266107826,-6.70528812840143e-08,1.43486711412902e-05,-1.00610587877383,-1.64083380018623e-09,0.0520882843764953,0,0,7.49183686735747e-09,3.17054536226568e-07,MV-202,sine_steer_python-1
8,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.007,39.9994894386794,-7.06983199144658e-08,3.96137079191478e-07,-0.994994582752105,-1.77533001737178e-09,0.0632007714866913,0,0,4.65917850773513e-09,1.97176434447351e-07,MV-202,sine_steer_python-1
9,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.008,39.9993407055145,-5.78673526067269e-08,-1.73700899762773e-05,-0.983883334331129,-1.53436838410313e-09,0.0743131815151861,0,0,2.81757711898245e-09,1.19239863675337e-07,MV-202,sine_steer_python-1
10,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.009,39.999182342907,-2.72905900950447e-08,-3.69463980867528e-05,-0.972772143027944,-8.7826412931352e-10,0.0854254790896894,0,0,2.88851550718729e-09,1.22241976264166e-07,MV-202,sine_steer_python-1
11,2026年09月07日_19时04分38秒_第018次,2026-09-07T19:04:38,0.01,39.9990158108864,2.02940698997534e-08,-5.64818736364064e-05,-0.961661015052789,1.91591197650131e-10,0.0965376432502016,0,0,5.10368994987453e-09,2.1598815867869e-07,MV-202,sine_steer_python-1
