metric,value,unit
duration,20,s
v_start,40,km/h
v_end,39.976869,km/h
v_min,39.14945,km/h
v_max,40,km/h
v_peak_to_peak,0.850549999999998,km/h
v_std,0.221810666359441,km/h
max_abs_beta,0.539751,deg
max_abs_yaw_rate,12.935492,deg/s
max_abs_delta1,3,deg
max_abs_delta3,0.607225,deg
