step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,OK
1,0.010000,39.998935,0.000001,-0.000267,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
2,0.020000,39.996823,0.000002,-0.000190,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
3,0.030000,39.994298,0.000001,-0.000021,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
4,0.040000,39.991596,-0.000001,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,OK
5,0.050000,39.988893,-0.000002,0.000064,0.000000,0.000000,0.000001,0.000001,0.000000,OK
6,0.060000,39.986248,-0.000002,0.000082,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
7,0.070000,39.983658,-0.000001,0.000100,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
8,0.080000,39.981103,-0.000001,0.000115,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
9,0.090000,39.978553,-0.000001,0.000127,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
10,0.100000,39.975986,-0.000001,0.000134,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
11,0.110000,39.973383,-0.000001,0.000136,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
12,0.120000,39.970734,-0.000003,0.000133,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
13,0.130000,39.968039,-0.000004,0.000125,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
14,0.140000,39.965301,-0.000007,0.000114,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
15,0.150000,39.962532,-0.000009,0.000103,0.000000,0.000000,0.000006,0.000006,-0.000000,OK
16,0.160000,39.959745,-0.000012,0.000092,0.000000,0.000000,0.000007,0.000007,-0.000000,OK
17,0.170000,39.956957,-0.000014,0.000083,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
18,0.180000,39.954186,-0.000016,0.000077,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
19,0.190000,39.951447,-0.000016,0.000074,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
20,0.200000,39.948756,-0.000016,0.000075,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
21,0.210000,39.946117,-0.000016,0.000078,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
22,0.220000,39.943530,-0.000014,0.000084,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
23,0.230000,39.940987,-0.000012,0.000090,0.000000,0.000000,0.000008,0.000008,-0.000001,OK
24,0.240000,39.938471,-0.000010,0.000096,0.000000,0.000000,0.000007,0.000007,-0.000002,OK
25,0.250000,39.935962,-0.000009,0.000101,0.000000,0.000000,0.000006,0.000006,-0.000002,OK
26,0.260000,39.933439,-0.000007,0.000103,0.000000,0.000000,0.000005,0.000005,-0.000002,OK
27,0.270000,39.930883,-0.000006,0.000102,0.000000,0.000000,0.000004,0.000004,-0.000002,OK
28,0.280000,39.928284,-0.000005,0.000097,0.000000,0.000000,0.000004,0.000004,-0.000002,OK
29,0.290000,39.925642,-0.000005,0.000090,0.000000,0.000000,0.000004,0.000004,-0.000002,OK
30,0.300000,39.922965,-0.000006,0.000081,0.000000,0.000000,0.000004,0.000004,-0.000002,OK
31,0.310000,39.920271,-0.000007,0.000071,0.000000,0.000000,0.000005,0.000005,-0.000002,OK
32,0.320000,39.917582,-0.000007,0.000061,0.000000,0.000000,0.000005,0.000005,-0.000002,OK
33,0.330000,39.914919,-0.000008,0.000054,0.000000,0.000000,0.000006,0.000006,-0.000002,OK
34,0.340000,39.912298,-0.000009,0.000050,0.000000,0.000000,0.000006,0.000006,-0.000002,OK
35,0.350000,39.909726,-0.000009,0.000050,0.000000,0.000000,0.000007,0.000007,-0.000002,OK
36,0.360000,39.907201,-0.000009,0.000052,0.000000,0.000000,0.000007,0.000007,-0.000002,OK
